,0,1,2,3,4,5
0,1589840762.0,2339,162,0,0.98,1
1,1590080801.0,62,218,0,0.99,0
2,1590560246.0,114,3061,0,0.97,1
3,1590543976.0,152,1466,0,0.9,1
4,1590552614.0,92,699,1,0.94,0
5,1590566845.0,45,242,0,0.97,0
6,1590557403.0,76,347,0,0.96,0
7,1590576220.0,15,132,0,0.97,0
8,1590567583.0,80,192,0,0.94,0
9,1590574101.0,19,137,0,0.96,1
10,1590577838.0,8,96,0,1.0,0
11,1590576801.0,7,93,0,0.96,1
12,1590577192.0,38,86,0,0.89,0
13,1590582681.0,11,66,0,0.88,1
14,1590577060.0,9,82,0,0.89,1
15,1590574295.0,11,92,0,0.95,1
16,1590593857.0,2,31,0,0.92,1
17,1590551598.0,119,244,0,0.86,0
18,1590550998.0,82,228,0,0.84,0
19,1590563898.0,12,116,0,0.88,1
20,1590571937.0,4,75,0,0.97,0
21,1590567398.0,13,94,0,0.97,0
22,1590584603.0,6,38,0,0.91,1
23,1590566232.0,7,96,0,0.95,1
24,1590588727.0,3,29,0,0.91,0
25,1590559881.0,3,116,0,0.94,0
26,1590584017.0,2,37,0,0.98,0
27,1590570054.0,27,65,0,0.93,0
28,1590580460.0,48,39,0,0.86,1
29,1590592592.0,1,18,0,1.0,0
30,1590576693.0,1,39,0,0.93,0
31,1590563845.0,26,77,0,0.94,0
32,1590586244.0,7,25,0,0.96,0
33,1590566003.0,1,69,0,0.81,1
34,1590579796.0,1,32,0,0.93,0
35,1590570055.0,1,50,0,0.93,0
36,1590569971.0,9,54,0,0.89,1
37,1590557420.0,15,96,0,0.95,0
38,1590566686.0,2,63,0,0.91,1
39,1590573309.0,20,39,0,0.93,0
40,1590555317.0,13,98,0,0.95,1
41,1590576601.0,4,35,0,0.95,0
42,1590593628.0,0,13,0,0.88,0
43,1590587127.0,2,18,0,0.83,1
44,1590579711.0,2,25,0,0.83,0
45,1590552026.0,66,106,0,0.83,0
46,1590587740.0,7,17,0,0.84,0
47,1590572313.0,6,35,0,0.85,0
48,1590551445.0,15,99,0,0.96,0
49,1590567933.0,6,38,0,0.93,0
50,1590556799.0,18,71,0,0.83,0
51,1590586873.0,2,15,0,0.9,0
52,1590579012.0,6,23,0,1.0,0
53,1590584792.0,2,16,0,0.83,0
54,1590575168.0,1,26,0,0.97,1
55,1590593553.0,2,12,0,0.84,0
56,1590588292.0,14,12,0,0.75,1
57,1590593312.0,5,11,0,0.92,0
58,1590551052.0,81,87,0,0.85,0
59,1590548297.0,13,93,0,0.94,0
60,1590576224.0,7,24,0,0.84,0
61,1590569942.0,4,30,0,0.86,1
62,1590591290.0,6,10,0,1.0,0
63,1590580584.0,1,16,0,0.84,0
64,1590513909.0,72,512,0,0.95,0
65,1590563381.0,1,43,0,0.9,0
66,1590565221.0,2,36,0,0.97,0
67,1590596770.0,1,7,0,1.0,0
68,1590593673.0,3,8,0,1.0,1
69,1590569666.0,3,28,0,0.95,0
70,1590583900.0,0,14,0,0.79,0
71,1590548564.0,27,80,0,0.94,0
72,1590579675.0,2,14,0,0.9,0
73,1590582422.0,17,14,0,0.8,0
74,1590582245.0,0,15,0,1.0,0
75,1590566466.0,1,29,0,0.82,0
76,1590596419.0,2,6,0,1.0,0
77,1590595752.0,4,6,0,0.8,1
78,1590554463.0,18,53,0,0.81,0
79,1590575002.0,3,17,0,0.85,0
80,1590575241.0,0,18,0,0.94,0
81,1590579091.0,1,13,0,1.0,0
82,1590571545.0,1,21,0,1.0,1
83,1590580453.0,9,12,0,1.0,1
84,1590590892.0,6,7,0,1.0,1
85,1590574334.0,1,17,0,1.0,0
86,1590516480.0,54,321,0,0.95,1
87,1590596441.0,1,5,0,1.0,0
88,1590539400.0,2,84,0,0.93,1
89,1590515011.0,34,299,0,0.98,0
90,1590579522.0,1,11,0,0.87,0
91,1590594318.0,11,6,0,1.0,0
92,1590580720.0,3,11,0,0.92,0
93,1590598260.0,0,4,0,1.0,0
